epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,435.394,1.59724,2.51966,1.30863,0.5187,0.68554,0.63414,0.34437,1.39543,2.19587,1.28315,0.000552359,0.000552359,0.000552359
2,851.601,1.50357,1.84949,1.26293,0.53362,0.61634,0.59932,0.30887,1.49959,2.06603,1.36155,0.00108609,0.00108609,0.00108609
3,1263.35,1.52464,1.62547,1.27295,0.69149,0.69928,0.70877,0.39899,1.51917,1.66562,1.35226,0.00159781,0.00159781,0.00159781
4,1667.29,1.52179,1.57714,1.28293,0.6912,0.72621,0.73123,0.41983,1.46286,1.45352,1.36822,0.00156798,0.00156798,0.00156798
5,2073.62,1.50363,1.41064,1.28124,0.73548,0.69886,0.75411,0.4411,1.44265,1.27207,1.33003,0.00153497,0.00153497,0.00153497
6,2480.28,1.46517,1.30884,1.23981,0.76723,0.67486,0.77912,0.44678,1.43442,1.25089,1.32381,0.00150197,0.00150197,0.00150197
7,2883.44,1.44403,1.22403,1.23961,0.7134,0.77574,0.76397,0.39664,1.5604,1.18774,1.39458,0.00146896,0.00146896,0.00146896
8,3286.93,1.43849,1.19331,1.23237,0.71151,0.73967,0.7774,0.46191,1.46426,1.20969,1.36069,0.00143595,0.00143595,0.00143595
9,3690.84,1.41197,1.1507,1.22756,0.73104,0.7607,0.77122,0.43987,1.50138,1.09333,1.36443,0.00140295,0.00140295,0.00140295
10,4094.1,1.38952,1.07741,1.21101,0.73501,0.76745,0.77261,0.39258,1.61595,1.10006,1.41208,0.00136994,0.00136994,0.00136994
11,4495.44,1.36526,1.04664,1.19938,0.71477,0.79234,0.78087,0.46485,1.42326,1.07495,1.32598,0.00133693,0.00133693,0.00133693
12,4899.49,1.34702,1.02559,1.17571,0.71635,0.68595,0.74765,0.43949,1.40908,1.12437,1.28779,0.00130393,0.00130393,0.00130393
13,5302.32,1.35007,1.00398,1.19188,0.77934,0.76108,0.78987,0.46496,1.43332,1.00172,1.31657,0.00127092,0.00127092,0.00127092
14,5704.74,1.29079,0.92817,1.15948,0.7873,0.7659,0.79225,0.46039,1.41017,0.93079,1.29883,0.00123791,0.00123791,0.00123791
15,6107.4,1.2771,0.89224,1.14847,0.77772,0.74955,0.77951,0.45792,1.41367,1.00306,1.30606,0.00120491,0.00120491,0.00120491
16,6509.68,1.26748,0.87547,1.15359,0.78645,0.78945,0.81292,0.45961,1.43489,0.91473,1.29762,0.0011719,0.0011719,0.0011719
17,6912.49,1.26759,0.88402,1.13992,0.76853,0.7452,0.78949,0.46781,1.39901,0.95414,1.29704,0.00113889,0.00113889,0.00113889
18,7314.38,1.23519,0.84473,1.13065,0.73485,0.76594,0.75529,0.42522,1.40752,0.99963,1.30424,0.00110589,0.00110589,0.00110589
19,7720.6,1.25331,0.85567,1.14363,0.73913,0.79071,0.8047,0.46411,1.51385,0.95443,1.40508,0.00107288,0.00107288,0.00107288
20,8123.94,1.24122,0.80678,1.11983,0.753,0.79918,0.78829,0.45425,1.43928,0.9095,1.32935,0.00103987,0.00103987,0.00103987
21,8526.86,1.1961,0.78212,1.10901,0.74528,0.80964,0.80486,0.45139,1.53344,0.90048,1.38965,0.00100687,0.00100687,0.00100687
22,8930.55,1.1927,0.77797,1.1106,0.78398,0.73798,0.79543,0.46773,1.40288,0.95521,1.28952,0.000973861,0.000973861,0.000973861
23,9333.17,1.14322,0.75008,1.0942,0.75214,0.74882,0.74873,0.42563,1.45062,0.97561,1.323,0.000940855,0.000940855,0.000940855
24,9735.02,1.13633,0.72523,1.08644,0.80074,0.7002,0.77421,0.45319,1.42158,0.97762,1.30917,0.000907848,0.000907848,0.000907848
25,10137.8,1.16613,0.76647,1.09645,0.77113,0.71783,0.74428,0.43103,1.47239,1.00384,1.34544,0.000874842,0.000874842,0.000874842
26,10540.2,1.12672,0.71866,1.07363,0.76058,0.76925,0.78237,0.44015,1.46594,0.95865,1.32692,0.000841835,0.000841835,0.000841835
