epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.961,1.57058,3.62335,1.33466,0.00662,0.70761,0.1183,0.05767,1.31917,3.71961,1.13139,0.000407801,0.000407801,0.000407801
2,254.355,1.47171,2.43177,1.20952,0.70841,0.11175,0.30833,0.16253,1.45577,2.94467,1.26334,0.000808144,0.000808144,0.000808144
3,384.621,1.51023,2.23732,1.28091,0.65094,0.41563,0.37611,0.20785,1.47499,2.21148,1.35559,0.00119199,0.00119199,0.00119199
4,517.262,1.40591,2.04184,1.23652,0.63444,0.40162,0.40527,0.23011,1.44525,2.01134,1.3554,0.00117575,0.00117575,0.00117575
5,648.655,1.45363,2.00772,1.22998,0.6386,0.40531,0.41237,0.23545,1.42143,2.02733,1.29319,0.001151,0.001151,0.001151
6,778.869,1.399,1.97373,1.21129,0.65248,0.49872,0.44896,0.2666,1.4214,1.90345,1.28157,0.00112625,0.00112625,0.00112625
7,915.848,1.49691,1.8049,1.25787,0.68318,0.48999,0.43845,0.24959,1.40733,1.9759,1.28193,0.0011015,0.0011015,0.0011015
8,1052.95,1.40606,1.73083,1.20244,0.64338,0.51416,0.42012,0.24099,1.40441,1.91286,1.29527,0.00107675,0.00107675,0.00107675
9,1190.12,1.36287,1.61364,1.19396,0.67339,0.50729,0.46576,0.27113,1.37886,1.65312,1.26544,0.001052,0.001052,0.001052
10,1342.86,1.35104,1.57053,1.17126,0.71979,0.47958,0.47626,0.28645,1.40063,1.64643,1.26152,0.00102725,0.00102725,0.00102725
11,1488.21,1.35993,1.51647,1.19082,0.62467,0.44385,0.39785,0.23319,1.44757,1.77993,1.27992,0.0010025,0.0010025,0.0010025
12,1622.24,1.34309,1.48111,1.19453,0.6148,0.47611,0.42854,0.25805,1.42932,1.6702,1.28333,0.00097775,0.00097775,0.00097775
13,1753.1,1.3212,1.37854,1.15653,0.67993,0.4703,0.51419,0.2984,1.42144,1.57128,1.27271,0.000953,0.000953,0.000953
14,1889.37,1.31378,1.34938,1.17156,0.6574,0.524,0.74303,0.40648,1.38716,1.46393,1.28883,0.00092825,0.00092825,0.00092825
15,2017.86,1.31212,1.34598,1.15228,0.74808,0.44809,0.50016,0.27952,1.42648,1.50902,1.28806,0.0009035,0.0009035,0.0009035
16,2148.45,1.30306,1.29581,1.17048,0.68729,0.51915,0.49269,0.28341,1.42168,1.46034,1.30485,0.00087875,0.00087875,0.00087875
17,2274.46,1.27858,1.21271,1.1396,0.74144,0.48896,0.63493,0.32125,1.44334,1.36112,1.29739,0.000854,0.000854,0.000854
18,2399.7,1.26362,1.19986,1.14073,0.67512,0.44787,0.68733,0.28301,1.42664,1.50121,1.27378,0.00082925,0.00082925,0.00082925
19,2528.89,1.28714,1.23815,1.16038,0.67793,0.51398,0.7138,0.29999,1.42891,1.40182,1.29666,0.0008045,0.0008045,0.0008045
20,2653.38,1.26918,1.19131,1.14349,0.67853,0.52301,0.71573,0.31569,1.41681,1.42958,1.29155,0.00077975,0.00077975,0.00077975
21,2777.3,1.30035,1.211,1.16625,0.72326,0.4745,0.52357,0.30077,1.42445,1.34441,1.27898,0.000755,0.000755,0.000755
22,2902.81,1.2507,1.12667,1.15067,0.71194,0.4716,0.60365,0.34115,1.44682,1.34366,1.30886,0.00073025,0.00073025,0.00073025
