epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.538,1.6206,2.47135,1.29235,0.5055,0.57903,0.51268,0.23752,1.64839,2.17858,1.34455,0.000553351,0.000553351,0.000553351
2,654.176,1.6022,1.84314,1.28434,0.45411,0.60269,0.46472,0.24604,1.59023,1.88397,1.31744,0.00109804,0.00109804,0.00109804
3,972.017,1.58051,1.66296,1.30113,0.55272,0.57658,0.51921,0.28111,1.52785,1.47522,1.32495,0.00163172,0.00163172,0.00163172
4,1290.17,1.58439,1.50967,1.28588,0.50547,0.63478,0.54314,0.29371,1.50784,1.44057,1.33075,0.00161749,0.00161749,0.00161749
5,1606.28,1.53304,1.38921,1.27108,0.57954,0.64566,0.60229,0.324,1.55726,1.35533,1.34224,0.00160099,0.00160099,0.00160099
6,1920.73,1.53985,1.33081,1.29334,0.57226,0.66423,0.60394,0.32712,1.51508,1.34653,1.31137,0.00158448,0.00158448,0.00158448
7,2237.07,1.51355,1.29016,1.25261,0.55754,0.68062,0.61128,0.33092,1.56518,1.30593,1.31933,0.00156798,0.00156798,0.00156798
8,2534.83,1.48813,1.23907,1.23778,0.54323,0.69674,0.64291,0.33588,1.52512,1.42232,1.32704,0.00155148,0.00155148,0.00155148
9,2780.53,1.47769,1.21861,1.24078,0.60638,0.63885,0.60665,0.33246,1.53209,1.22503,1.30128,0.00153497,0.00153497,0.00153497
10,3026.8,1.47468,1.15263,1.23677,0.62475,0.64561,0.59402,0.30978,1.53986,1.2221,1.33601,0.00151847,0.00151847,0.00151847
11,3271.67,1.46311,1.1574,1.2204,0.60332,0.71193,0.62804,0.33187,1.53432,1.15613,1.32599,0.00150197,0.00150197,0.00150197
12,3514.25,1.45111,1.14778,1.21703,0.5287,0.68567,0.55995,0.28678,1.55943,1.27254,1.30323,0.00148546,0.00148546,0.00148546
