epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.9722,1.57527,2.58918,1.4955,0.71378,0.35732,0.51019,0.22887,1.7233,3.05393,1.52688,0.000546249,0.000546249,0.000546249
2,196.839,1.57888,2.20484,1.5203,0.71167,0.4494,0.54469,0.25672,1.72257,2.51919,1.5783,0.00109101,0.00109101,0.00109101
3,310.459,1.59019,2.12795,1.54904,0.44718,0.61009,0.45771,0.21424,1.7909,3.64931,1.81844,0.00162476,0.00162476,0.00162476
4,426.639,1.56278,2.05755,1.55134,0.27889,0.38095,0.35271,0.16918,1.76181,2.43319,1.75956,0.00161749,0.00161749,0.00161749
5,547.813,1.60138,1.91631,1.57761,0.2553,0.48016,0.33444,0.15985,1.88714,2.48541,1.76451,0.00160099,0.00160099,0.00160099
6,664.752,1.56086,1.8033,1.52796,0.45812,0.52556,0.46958,0.20874,1.83991,2.04626,1.70267,0.00158448,0.00158448,0.00158448
7,781.356,1.54129,1.72762,1.50271,0.42362,0.66667,0.48369,0.23888,1.68989,2.01923,1.5406,0.00156798,0.00156798,0.00156798
8,911.644,1.51336,1.62064,1.49161,0.52711,0.46825,0.44879,0.21833,1.6868,1.86595,1.53862,0.00155148,0.00155148,0.00155148
9,1046.43,1.47711,1.51941,1.448,0.29971,0.55546,0.48361,0.24953,1.71225,1.54591,1.58707,0.00153497,0.00153497,0.00153497
10,1182.9,1.54006,1.56905,1.50184,0.65914,0.54365,0.55347,0.28679,1.68179,1.45121,1.53741,0.00151847,0.00151847,0.00151847
11,1313.84,1.43898,1.44419,1.42652,0.63253,0.51984,0.54869,0.25446,1.78405,1.63284,1.56214,0.00150197,0.00150197,0.00150197
12,1446.8,1.49669,1.42733,1.47182,0.53205,0.58166,0.54561,0.28183,1.63825,1.46676,1.47636,0.00148546,0.00148546,0.00148546
13,1574.31,1.47493,1.38229,1.44222,0.4791,0.60317,0.55967,0.2653,1.70561,1.35451,1.51545,0.00146896,0.00146896,0.00146896
14,1694.87,1.43582,1.27083,1.40534,0.75993,0.63492,0.67767,0.37553,1.57793,1.25915,1.43645,0.00145246,0.00145246,0.00145246
15,1812.49,1.43235,1.26918,1.41659,0.71939,0.67666,0.70596,0.38575,1.57002,1.11617,1.4442,0.00143595,0.00143595,0.00143595
16,1929.91,1.4597,1.27009,1.45061,0.76202,0.64965,0.69058,0.31214,1.72525,1.20475,1.53985,0.00141945,0.00141945,0.00141945
17,2047.86,1.40416,1.25142,1.39969,0.56953,0.69048,0.61153,0.31391,1.5397,1.32592,1.40234,0.00140295,0.00140295,0.00140295
