epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7248,1.78639,2.95081,1.57329,0.0042,0.89286,0.39628,0.17556,1.73266,3.60986,1.54272,0.000540231,0.000540231,0.000540231
2,119.323,1.68767,2.25072,1.53043,0.60795,0.40476,0.45118,0.18932,1.9435,3.17632,1.8451,0.00108505,0.00108505,0.00108505
3,177.693,1.72572,2.28893,1.56721,0.33715,0.55556,0.33557,0.15258,1.72157,4.36412,1.64265,0.00161886,0.00161886,0.00161886
4,235.96,1.76497,2.31387,1.58887,0.73066,0.29908,0.27942,0.10875,1.88712,5.48812,1.87767,0.00161749,0.00161749,0.00161749
5,293.966,1.77369,2.26914,1.60579,0.37668,0.27778,0.34041,0.16412,1.81009,3.13309,1.84351,0.00160099,0.00160099,0.00160099
6,351.674,1.77225,2.17675,1.59448,0.45852,0.45635,0.47345,0.21843,1.76519,2.42586,1.64812,0.00158448,0.00158448,0.00158448
7,412.031,1.71275,2.09755,1.59987,0.45889,0.5147,0.45853,0.19486,1.88653,2.1808,1.66132,0.00156798,0.00156798,0.00156798
8,9279.45,1.65258,1.83928,1.49744,0.42187,0.49603,0.44363,0.2265,1.77277,2.1361,1.56477,0.00155148,0.00155148,0.00155148
9,9341.32,1.68238,1.75548,1.48485,0.67914,0.53175,0.52283,0.25307,1.70014,1.90846,1.55297,0.00153497,0.00153497,0.00153497
10,9400.31,1.65304,1.77879,1.48991,0.65107,0.47112,0.57761,0.299,1.61802,1.94587,1.50119,0.00151847,0.00151847,0.00151847
11,9458.85,1.61771,1.67153,1.50415,0.49619,0.45781,0.50384,0.27179,1.70214,1.77905,1.53121,0.00150197,0.00150197,0.00150197
12,9517.99,1.61853,1.7191,1.51449,0.46284,0.47275,0.40084,0.18254,1.89971,2.78185,1.67869,0.00148546,0.00148546,0.00148546
13,9576.89,1.63527,1.5498,1.48423,0.632,0.52381,0.51568,0.25579,1.72647,1.61732,1.50766,0.00146896,0.00146896,0.00146896
14,9636.27,1.64508,1.59417,1.48951,0.62601,0.56609,0.60676,0.33586,1.59114,1.50573,1.44535,0.00145246,0.00145246,0.00145246
15,9697.58,1.59221,1.53023,1.46488,0.55618,0.6627,0.62811,0.32892,1.59783,1.49913,1.44094,0.00143595,0.00143595,0.00143595
16,9757.99,1.54362,1.41784,1.40571,0.78624,0.59921,0.66595,0.33875,1.54895,1.46896,1.41952,0.00141945,0.00141945,0.00141945
17,9817.25,1.544,1.36774,1.42007,0.53302,0.59127,0.51272,0.27565,1.66471,1.91856,1.48683,0.00140295,0.00140295,0.00140295
18,9875.63,1.55256,1.39233,1.43444,0.78061,0.71117,0.70876,0.37963,1.55158,1.1747,1.426,0.00138644,0.00138644,0.00138644
19,9935.97,1.54245,1.37044,1.42157,0.52891,0.61111,0.57643,0.29667,1.60614,1.38591,1.46917,0.00136994,0.00136994,0.00136994
20,9994.95,1.52857,1.34089,1.42422,0.78477,0.52972,0.67527,0.35477,1.59585,1.22347,1.42274,0.00135344,0.00135344,0.00135344
21,10054.7,1.52521,1.31823,1.41229,0.58134,0.62698,0.55002,0.2679,1.68953,1.45094,1.50722,0.00133693,0.00133693,0.00133693
22,10116,1.53244,1.28164,1.42045,0.67701,0.68721,0.66327,0.33993,1.49767,1.23721,1.41025,0.00132043,0.00132043,0.00132043
23,10177.6,1.5364,1.37116,1.44963,0.59234,0.5754,0.64639,0.34974,1.52156,1.1447,1.40024,0.00130393,0.00130393,0.00130393
24,10237.7,1.50948,1.28011,1.3817,0.69484,0.63995,0.69344,0.36436,1.58969,1.23528,1.4288,0.00128742,0.00128742,0.00128742
25,10297.2,1.50204,1.21203,1.39643,0.80674,0.67705,0.76317,0.38153,1.60269,1.18549,1.48592,0.00127092,0.00127092,0.00127092
