epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,332.938,0.87625,1.57873,1.22829,0.94495,0.91972,0.94905,0.68694,0.94854,1.7895,1.3329,0.000661616,0.000661616,0.000661616
2,655.162,0.90061,1.09582,1.21117,0.73803,0.75,0.76915,0.49329,1.22523,1.95455,1.64098,0.00131513,0.00131513,0.00131513
3,970.923,0.91102,0.95502,1.22291,0.89816,0.94494,0.92532,0.6295,1.06339,1.18534,1.50596,0.00195545,0.00195545,0.00195545
4,1288.71,0.92228,0.84047,1.2003,0.89445,0.90798,0.93093,0.64801,1.10119,1.08547,1.43753,0.0019406,0.0019406,0.0019406
5,1608.73,0.85359,0.70898,1.17063,0.92551,0.88758,0.92095,0.70373,0.96933,0.85403,1.41382,0.0019208,0.0019208,0.0019208
6,1929.32,0.83768,0.66183,1.14955,0.97646,0.98214,0.9915,0.7677,0.87398,0.5741,1.21171,0.001901,0.001901,0.001901
7,2249.32,0.81968,0.63307,1.14894,0.93257,0.94643,0.97458,0.7666,0.78651,0.58233,1.16624,0.0018812,0.0018812,0.0018812
8,2570.02,0.79484,0.58341,1.12815,0.91875,0.94643,0.98227,0.76177,0.8792,0.61046,1.2373,0.0018614,0.0018614,0.0018614
9,2890.31,0.79055,0.58575,1.12462,0.96816,0.96429,0.98818,0.79526,0.8013,0.49186,1.16132,0.0018416,0.0018416,0.0018416
10,3211.39,0.75762,0.54501,1.10786,0.9421,0.98214,0.98334,0.78748,0.78893,0.54243,1.14278,0.0018218,0.0018218,0.0018218
11,3532.42,0.78306,0.56517,1.1087,0.96001,1,0.97499,0.77606,0.75344,0.49612,1.1622,0.001802,0.001802,0.001802
12,3846.43,0.7297,0.52439,1.08464,0.96395,0.95511,0.97518,0.78104,0.74943,0.49643,1.15146,0.0017822,0.0017822,0.0017822
13,4159.82,0.73782,0.51448,1.0869,0.96454,0.98214,0.97808,0.77255,0.80467,0.55854,1.20107,0.0017624,0.0017624,0.0017624
14,4472.8,0.71314,0.49386,1.08411,0.95918,0.96429,0.98965,0.77337,0.77399,0.51034,1.15309,0.0017426,0.0017426,0.0017426
15,4785.57,0.68848,0.48804,1.07212,0.94687,1,0.99058,0.80529,0.73651,0.42959,1.12098,0.0017228,0.0017228,0.0017228
16,5098.81,0.68798,0.48218,1.06852,0.96038,0.94643,0.96019,0.78195,0.78947,0.47549,1.13348,0.001703,0.001703,0.001703
17,5411.76,0.68866,0.4698,1.07182,0.96466,0.9749,0.98985,0.81845,0.74125,0.44551,1.12292,0.0016832,0.0016832,0.0016832
18,5725.31,0.67002,0.44931,1.04431,0.96362,0.94643,0.97257,0.79973,0.72888,0.48438,1.09814,0.0016634,0.0016634,0.0016634
19,6038.95,0.67042,0.44375,1.06315,0.9663,0.96429,0.98872,0.80848,0.71312,0.40729,1.10049,0.0016436,0.0016436,0.0016436
20,6356.2,0.67898,0.44389,1.05554,0.94817,0.98214,0.97339,0.81046,0.70163,0.44955,1.08367,0.0016238,0.0016238,0.0016238
21,6669.79,0.63828,0.4287,1.04092,0.97646,0.98214,0.99163,0.80795,0.69616,0.40988,1.06741,0.001604,0.001604,0.001604
22,6983.12,0.65002,0.42574,1.0389,0.93199,0.97893,0.98056,0.80834,0.73993,0.38757,1.11522,0.0015842,0.0015842,0.0015842
23,7295.51,0.61829,0.41444,1.0289,0.95701,1,0.99167,0.82401,0.70762,0.3722,1.07208,0.0015644,0.0015644,0.0015644
24,7605.99,0.60696,0.40061,1.02274,0.96181,1,0.98662,0.81487,0.73379,0.40381,1.11542,0.0015446,0.0015446,0.0015446
25,7915.79,0.61051,0.41343,1.02359,0.96373,0.98214,0.97989,0.81023,0.75557,0.38459,1.13178,0.0015248,0.0015248,0.0015248
26,8226.81,0.62188,0.41863,1.02885,0.9748,1,0.99096,0.83165,0.6868,0.37133,1.05931,0.001505,0.001505,0.001505
27,8537.6,0.60599,0.40731,1.01419,0.96599,0.94643,0.97741,0.80658,0.74497,0.41356,1.14085,0.0014852,0.0014852,0.0014852
28,8847.71,0.59696,0.39439,1.01519,0.9636,1,0.96259,0.78153,0.7517,0.39116,1.10807,0.0014654,0.0014654,0.0014654
29,9157.95,0.59701,0.39413,1.02168,0.97881,1,0.99044,0.81847,0.69744,0.36964,1.09433,0.0014456,0.0014456,0.0014456
30,9467.84,0.58927,0.38559,1.0115,0.94913,0.9995,0.98343,0.83197,0.65205,0.36013,1.05486,0.0014258,0.0014258,0.0014258
31,9778.51,0.59422,0.38555,1.00932,0.97813,1,0.99061,0.81559,0.69503,0.34868,1.07977,0.001406,0.001406,0.001406
32,10089.8,0.56469,0.36899,1.00623,0.96428,1,0.99305,0.8509,0.66574,0.35474,1.05965,0.0013862,0.0013862,0.0013862
33,10409,0.57171,0.37463,0.99784,0.96429,1,0.98487,0.81353,0.68284,0.3584,1.0698,0.0013664,0.0013664,0.0013664
34,10720.8,0.5708,0.3682,1.00041,0.96539,0.99613,0.99037,0.82028,0.72673,0.35583,1.10934,0.0013466,0.0013466,0.0013466
35,11030.5,0.56688,0.36065,1.00705,0.94909,0.99881,0.99306,0.83837,0.69242,0.36804,1.08369,0.0013268,0.0013268,0.0013268
36,11340.4,0.55662,0.35696,0.99375,0.97986,1,0.98342,0.81724,0.689,0.3499,1.08478,0.001307,0.001307,0.001307
37,11651.2,0.56713,0.37068,0.99632,0.96487,0.98083,0.99179,0.81007,0.73518,0.39521,1.12273,0.0012872,0.0012872,0.0012872
38,11960.8,0.54976,0.36473,0.98951,0.98244,0.999,0.99377,0.83716,0.67568,0.33128,1.07647,0.0012674,0.0012674,0.0012674
39,12270.8,0.54677,0.35589,0.99342,0.96394,1,0.98809,0.83061,0.65886,0.33809,1.0449,0.0012476,0.0012476,0.0012476
40,12581.1,0.54575,0.35684,0.99393,0.96139,0.98214,0.98963,0.84063,0.65813,0.35142,1.04361,0.0012278,0.0012278,0.0012278
41,12892,0.53151,0.35034,0.98818,0.96414,1,0.99233,0.8175,0.71237,0.36114,1.13695,0.001208,0.001208,0.001208
42,13202.5,0.50616,0.32937,0.97249,0.96199,1,0.99198,0.80517,0.75614,0.36183,1.13101,0.0011882,0.0011882,0.0011882
43,13512.7,0.53792,0.35369,0.99254,0.96494,1,0.98809,0.8156,0.67922,0.35087,1.07698,0.0011684,0.0011684,0.0011684
44,13823,0.51632,0.33979,0.97783,0.96549,0.99917,0.99235,0.83406,0.65322,0.33721,1.06817,0.0011486,0.0011486,0.0011486
45,14133,0.52006,0.32899,0.97731,0.96549,0.99908,0.99069,0.81336,0.71363,0.34743,1.10508,0.0011288,0.0011288,0.0011288
46,14443.1,0.5107,0.32964,0.97616,0.95949,1,0.98136,0.81261,0.67499,0.3479,1.12108,0.001109,0.001109,0.001109
47,14753.3,0.51226,0.33665,0.97568,0.96509,1,0.98221,0.81274,0.72007,0.34561,1.11901,0.0010892,0.0010892,0.0010892
48,15062.5,0.51052,0.33717,0.97286,0.96446,1,0.99108,0.82324,0.6545,0.3293,1.08659,0.0010694,0.0010694,0.0010694
49,15372.5,0.49347,0.32684,0.97126,0.96269,1,0.98828,0.83683,0.65493,0.34425,1.05555,0.0010496,0.0010496,0.0010496
50,15682.4,0.48964,0.32069,0.96712,0.96548,0.99891,0.99037,0.82271,0.68122,0.35835,1.07822,0.0010298,0.0010298,0.0010298
51,15992,0.49436,0.32656,0.97261,0.96434,1,0.9873,0.83496,0.63297,0.32026,1.05952,0.00101,0.00101,0.00101
52,16302.1,0.47978,0.31378,0.96387,0.96471,0.97629,0.9926,0.8491,0.67749,0.35193,1.08925,0.0009902,0.0009902,0.0009902
53,16611.7,0.48532,0.3121,0.9595,0.96445,1,0.98416,0.83053,0.68321,0.33769,1.08163,0.0009704,0.0009704,0.0009704
54,16921.1,0.48064,0.31512,0.95555,0.96486,0.98056,0.992,0.82606,0.68474,0.32959,1.0886,0.0009506,0.0009506,0.0009506
55,17231,0.4905,0.31217,0.96786,0.96358,1,0.98693,0.8257,0.66809,0.33547,1.07372,0.0009308,0.0009308,0.0009308
56,17541.9,0.49024,0.31828,0.96767,0.96474,1,0.9816,0.82394,0.64847,0.32051,1.07164,0.000911,0.000911,0.000911
57,17852,0.46477,0.31273,0.95896,0.94909,0.99864,0.97532,0.8068,0.6596,0.35309,1.0595,0.0008912,0.0008912,0.0008912
58,18162,0.46734,0.30075,0.95711,0.96232,0.98214,0.99449,0.84151,0.67123,0.33609,1.09543,0.0008714,0.0008714,0.0008714
59,18472.8,0.46677,0.30147,0.95431,0.93312,1,0.97442,0.82251,0.62578,0.3312,1.04347,0.0008516,0.0008516,0.0008516
60,18783.4,0.46701,0.30627,0.95436,0.96533,0.99444,0.99272,0.82577,0.6609,0.33324,1.07915,0.0008318,0.0008318,0.0008318
61,19095.8,0.44576,0.29383,0.94539,0.96544,0.99771,0.99306,0.84496,0.63999,0.31493,1.04745,0.000812,0.000812,0.000812
62,19410.7,0.44997,0.28903,0.95356,0.96463,1,0.99164,0.83864,0.65135,0.30673,1.07326,0.0007922,0.0007922,0.0007922
63,19737.2,0.45003,0.30028,0.94752,0.96463,1,0.9793,0.82668,0.68526,0.32052,1.08549,0.0007724,0.0007724,0.0007724
64,20047.8,0.4284,0.28304,0.94006,0.96418,1,0.99198,0.82343,0.65283,0.31526,1.06153,0.0007526,0.0007526,0.0007526
65,20358,0.43009,0.28344,0.9379,0.963,1,0.99108,0.82652,0.68769,0.3339,1.10452,0.0007328,0.0007328,0.0007328
66,20668.5,0.42647,0.27743,0.93905,0.96413,1,0.98768,0.82136,0.66288,0.3249,1.06684,0.000713,0.000713,0.000713
67,20979,0.42296,0.27779,0.94486,0.96484,0.9801,0.98108,0.81166,0.70351,0.35374,1.12409,0.0006932,0.0006932,0.0006932
68,21288.9,0.4331,0.28918,0.94779,0.94871,1,0.98947,0.848,0.63861,0.3318,1.08382,0.0006734,0.0006734,0.0006734
69,21599.6,0.43068,0.28017,0.93985,0.96495,1,0.98997,0.83363,0.645,0.31211,1.08113,0.0006536,0.0006536,0.0006536
70,21910.2,0.4255,0.27846,0.93241,0.96542,0.99701,0.98531,0.82763,0.64568,0.31964,1.06641,0.0006338,0.0006338,0.0006338
71,22220.5,0.41198,0.27009,0.9373,0.96534,1,0.98091,0.83105,0.64718,0.3208,1.08066,0.000614,0.000614,0.000614
72,22530.5,0.4146,0.27601,0.93083,0.9655,0.99953,0.98948,0.84378,0.64453,0.32251,1.07634,0.0005942,0.0005942,0.0005942
73,22840.4,0.39581,0.26542,0.92553,0.96551,0.99979,0.96841,0.82888,0.63981,0.32572,1.07311,0.0005744,0.0005744,0.0005744
74,23150.6,0.40757,0.26784,0.93823,0.96415,1,0.99038,0.83164,0.66989,0.31539,1.11101,0.0005546,0.0005546,0.0005546
75,23461.2,0.41259,0.26417,0.92893,0.96124,1,0.99033,0.83824,0.65204,0.31791,1.09336,0.0005348,0.0005348,0.0005348
76,23772.6,0.39651,0.26724,0.92009,0.96473,1,0.98263,0.82401,0.68148,0.31803,1.11701,0.000515,0.000515,0.000515
77,24084.7,0.40386,0.27009,0.92691,0.96458,1,0.98862,0.84695,0.65027,0.3082,1.07904,0.0004952,0.0004952,0.0004952
78,24396.5,0.391,0.25895,0.92178,0.96237,1,0.97976,0.84227,0.64581,0.31085,1.07945,0.0004754,0.0004754,0.0004754
79,24707.9,0.39677,0.26487,0.92668,0.96374,0.98214,0.98619,0.84547,0.63609,0.34076,1.08051,0.0004556,0.0004556,0.0004556
80,25026.3,0.38481,0.26308,0.92683,0.94913,0.99949,0.97624,0.84047,0.64118,0.30449,1.0799,0.0004358,0.0004358,0.0004358
81,25338.1,0.39602,0.26494,0.92931,0.96307,0.98214,0.98163,0.81992,0.67253,0.32277,1.10186,0.000416,0.000416,0.000416
82,25649.9,0.37908,0.25803,0.92379,0.96429,1,0.97735,0.83486,0.64423,0.30759,1.08143,0.0003962,0.0003962,0.0003962
83,25960.4,0.36729,0.24618,0.91529,0.96316,0.98214,0.98487,0.83373,0.645,0.31964,1.09019,0.0003764,0.0003764,0.0003764
84,26271.9,0.37926,0.25465,0.92399,0.96462,1,0.99197,0.83989,0.65606,0.30742,1.09868,0.0003566,0.0003566,0.0003566
85,26581.8,0.37738,0.25167,0.92434,0.96538,1,0.99069,0.83264,0.65306,0.30209,1.10088,0.0003368,0.0003368,0.0003368
86,26891.5,0.36837,0.24446,0.9137,0.96457,1,0.98537,0.83549,0.65924,0.29889,1.1061,0.000317,0.000317,0.000317
87,27202.1,0.36288,0.24249,0.9172,0.96448,1,0.97772,0.82139,0.67184,0.29503,1.10616,0.0002972,0.0002972,0.0002972
88,27512.5,0.35714,0.24047,0.91294,0.9645,1,0.97772,0.82842,0.65638,0.29178,1.09747,0.0002774,0.0002774,0.0002774
89,27822.2,0.35797,0.24279,0.90828,0.96439,1,0.98216,0.84057,0.66255,0.29447,1.11434,0.0002576,0.0002576,0.0002576
90,28132.3,0.35252,0.23501,0.90784,0.96457,1,0.98906,0.84031,0.66372,0.29804,1.12093,0.0002378,0.0002378,0.0002378
91,28444.7,0.30681,0.19456,0.86182,0.96527,1,0.99061,0.83965,0.65722,0.29524,1.10675,0.000218,0.000218,0.000218
92,28754,0.29432,0.18501,0.84958,0.96481,1,0.99198,0.85378,0.66788,0.30549,1.10531,0.0001982,0.0001982,0.0001982
93,29062.8,0.28838,0.18122,0.85313,0.96507,1,0.99068,0.84142,0.67136,0.30903,1.12395,0.0001784,0.0001784,0.0001784
94,29370.8,0.29174,0.18045,0.85203,0.96466,1,0.9916,0.85833,0.6604,0.30614,1.10303,0.0001586,0.0001586,0.0001586
95,29678.4,0.2769,0.17733,0.85091,0.9644,1,0.99142,0.85165,0.65013,0.30572,1.08795,0.0001388,0.0001388,0.0001388
96,29985.2,0.27522,0.17254,0.85531,0.96439,1,0.98031,0.83793,0.66358,0.30757,1.11185,0.000119,0.000119,0.000119
97,30292.6,0.26924,0.16735,0.84446,0.96456,1,0.97716,0.82956,0.66308,0.30583,1.10469,9.92e-05,9.92e-05,9.92e-05
98,30600.2,0.26908,0.17176,0.85372,0.96458,1,0.97869,0.83045,0.65374,0.2987,1.10177,7.94e-05,7.94e-05,7.94e-05
99,30907.9,0.26046,0.16601,0.84578,0.96449,1,0.97679,0.82426,0.66635,0.3044,1.11755,5.96e-05,5.96e-05,5.96e-05
100,31221.5,0.26694,0.16582,0.83915,0.96459,1,0.97716,0.83597,0.65542,0.30242,1.10851,3.98e-05,3.98e-05,3.98e-05
