epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.9395,1.97316,2.88335,2.20691,1,0.03485,0.31258,0.19507,2.09515,3.1196,2.55802,0.0004287,0.0004287,0.0004287
2,170.031,1.79428,2.29518,2.04409,0.55064,0.20238,0.26089,0.10682,2.37417,2.80607,2.97516,0.000854431,0.000854431,0.000854431
3,253.083,1.72004,2.17207,2.00968,0.72915,0.25526,0.34797,0.24292,1.94374,2.55796,2.42464,0.00126262,0.00126262,0.00126262
4,336.579,1.63604,2.04569,1.95784,0.69357,0.40654,0.41867,0.24843,2.05004,2.61145,2.47937,0.00134412,0.00134412,0.00134412
5,419.598,1.55583,1.94675,1.88717,0.85402,0.33509,0.40184,0.23748,2.02365,2.19364,2.56135,0.00131582,0.00131582,0.00131582
6,502.608,1.55368,1.9669,1.89401,0.60595,0.4193,0.40957,0.24928,1.98174,2.46158,2.60664,0.00128753,0.00128753,0.00128753
7,585.817,1.53595,1.8364,1.8453,0.33817,0.40664,0.3947,0.2412,1.97061,2.27816,2.31498,0.00125923,0.00125923,0.00125923
8,668.795,1.47351,1.78367,1.77222,0.74184,0.40915,0.43382,0.26232,1.8627,2.15443,2.2619,0.00123094,0.00123094,0.00123094
9,751.768,1.38983,1.67366,1.73872,0.59807,0.43055,0.46943,0.29549,1.64533,1.91532,2.17515,0.00120265,0.00120265,0.00120265
10,834.388,1.40085,1.64731,1.72279,0.82898,0.4372,0.51776,0.32989,1.63384,1.72373,2.01164,0.00117435,0.00117435,0.00117435
11,917.262,1.40825,1.65589,1.72259,0.4534,0.50857,0.45207,0.29475,1.63794,1.94435,2.09596,0.00114606,0.00114606,0.00114606
12,1001.21,1.43199,1.64836,1.72468,0.73388,0.44912,0.49215,0.30659,1.68276,1.70414,2.09598,0.00111776,0.00111776,0.00111776
13,1084.56,1.39467,1.59515,1.70342,0.8375,0.44912,0.51022,0.32281,1.57005,1.66603,2.04836,0.00108947,0.00108947,0.00108947
14,1166.59,1.32351,1.53838,1.67062,0.60126,0.50647,0.56202,0.37025,1.51573,1.57982,1.99667,0.00106118,0.00106118,0.00106118
15,1249.31,1.34404,1.54943,1.67268,0.47345,0.49136,0.48221,0.33947,1.54452,1.61982,1.92171,0.00103288,0.00103288,0.00103288
16,1332.25,1.37863,1.5543,1.68165,0.44592,0.47625,0.48583,0.34194,1.49352,1.63882,1.86199,0.00100459,0.00100459,0.00100459
17,1414.33,1.26662,1.52865,1.61618,0.68083,0.53461,0.56621,0.39748,1.43033,1.5104,1.83289,0.000976293,0.000976293,0.000976293
18,1496.46,1.29138,1.43611,1.62143,0.61376,0.5894,0.55648,0.36349,1.46299,1.45474,1.853,0.000947999,0.000947999,0.000947999
19,1578.06,1.24414,1.38286,1.57863,0.675,0.57669,0.58828,0.40738,1.41336,1.32931,1.80147,0.000919704,0.000919704,0.000919704
20,1660.4,1.26445,1.36353,1.58608,0.71854,0.56294,0.59186,0.39691,1.45589,1.44939,1.85465,0.00089141,0.00089141,0.00089141
21,1742.28,1.26528,1.37234,1.57741,0.66913,0.49148,0.50526,0.3662,1.38135,1.55586,1.7956,0.000863116,0.000863116,0.000863116
22,1824.04,1.19285,1.27974,1.54218,0.72576,0.53822,0.60062,0.42037,1.39363,1.35924,1.79905,0.000834822,0.000834822,0.000834822
23,1905.65,1.24238,1.32823,1.55331,0.75056,0.56328,0.58928,0.40915,1.43967,1.37536,1.76658,0.000806528,0.000806528,0.000806528
24,1987.85,1.19502,1.31837,1.52951,0.64325,0.5896,0.58374,0.39536,1.38535,1.43722,1.77723,0.000778233,0.000778233,0.000778233
25,2071.03,1.18534,1.28335,1.52286,0.67934,0.57945,0.61432,0.41622,1.38329,1.26341,1.76226,0.000749939,0.000749939,0.000749939
26,2152.7,1.16116,1.26175,1.50401,0.66816,0.59146,0.62481,0.43833,1.32774,1.23526,1.74263,0.000721645,0.000721645,0.000721645
27,2234.9,1.1716,1.25078,1.51889,0.65859,0.52444,0.56872,0.40128,1.4103,1.37479,1.78068,0.000693351,0.000693351,0.000693351
28,2316.76,1.13461,1.22407,1.48841,0.70835,0.54026,0.60715,0.42861,1.33116,1.22848,1.70955,0.000665057,0.000665057,0.000665057
29,2398.98,1.14625,1.20295,1.50259,0.68402,0.57381,0.59757,0.43193,1.37368,1.26448,1.75142,0.000636762,0.000636762,0.000636762
30,2480.97,1.14989,1.19458,1.47897,0.79322,0.53346,0.61638,0.45216,1.27405,1.18403,1.64547,0.000608468,0.000608468,0.000608468
31,2566.56,1.10884,1.18777,1.45849,0.74842,0.59624,0.63811,0.45047,1.27954,1.15317,1.65228,0.000580174,0.000580174,0.000580174
32,2649.79,1.10444,1.1468,1.4352,0.71348,0.61203,0.64033,0.4535,1.24597,1.21998,1.64179,0.00055188,0.00055188,0.00055188
33,2732.2,1.117,1.15308,1.45739,0.76737,0.57855,0.64668,0.46441,1.24733,1.08437,1.65381,0.000523586,0.000523586,0.000523586
34,2814.85,1.1123,1.1513,1.45331,0.68432,0.62569,0.63391,0.44617,1.306,1.1367,1.67834,0.000495291,0.000495291,0.000495291
35,2897.98,1.08182,1.13295,1.43497,0.68388,0.59311,0.62672,0.44637,1.2803,1.11602,1.6206,0.000466997,0.000466997,0.000466997
36,2984.43,1.11808,1.15241,1.4416,0.79206,0.57594,0.66468,0.47417,1.27347,1.09232,1.61031,0.000438703,0.000438703,0.000438703
37,3078.27,1.06014,1.07865,1.40437,0.8985,0.57556,0.66396,0.46944,1.2837,1.06641,1.63563,0.000410409,0.000410409,0.000410409
38,3171.37,1.08935,1.12207,1.4409,0.92903,0.57206,0.67277,0.4871,1.24598,1.03989,1.60157,0.000382115,0.000382115,0.000382115
39,3257.39,1.04965,1.07524,1.41172,0.8058,0.57429,0.68032,0.48116,1.19509,1.07314,1.56459,0.00035382,0.00035382,0.00035382
40,3341.9,1.0474,1.08404,1.41408,0.6566,0.64286,0.66846,0.47609,1.23149,1.08184,1.5895,0.000325526,0.000325526,0.000325526
41,3424.09,1.08474,1.06832,1.45634,0.87547,0.55776,0.65619,0.47203,1.20649,1.04332,1.55854,0.000297232,0.000297232,0.000297232
42,3506.28,1.06703,1.03103,1.44812,0.68058,0.67331,0.68204,0.48641,1.1796,1.03767,1.55396,0.000268938,0.000268938,0.000268938
43,3588.63,1.0516,1.00979,1.41885,0.74389,0.65125,0.69369,0.49419,1.19939,1.06001,1.58969,0.000240644,0.000240644,0.000240644
44,3672.63,1.02839,0.97118,1.39447,0.77434,0.61165,0.68395,0.48527,1.23313,1.03972,1.6062,0.000212349,0.000212349,0.000212349
45,3755.5,1.01884,0.95595,1.37713,0.74217,0.63539,0.68618,0.49027,1.19193,1.03404,1.56597,0.000184055,0.000184055,0.000184055
46,3840.24,1.02067,0.93463,1.39673,0.88087,0.58784,0.68552,0.4975,1.16874,1.01018,1.54465,0.000155761,0.000155761,0.000155761
47,3922.46,0.99901,0.90733,1.37641,0.70655,0.68383,0.69456,0.5117,1.1488,0.98291,1.52067,0.000127467,0.000127467,0.000127467
48,4004.39,0.96832,0.89893,1.35003,0.69432,0.64599,0.69458,0.51048,1.14541,0.9583,1.50681,9.91726e-05,9.91726e-05,9.91726e-05
49,4088.05,1.00149,0.92706,1.3767,0.74923,0.67365,0.70901,0.51617,1.14549,0.94578,1.49927,7.08784e-05,7.08784e-05,7.08784e-05
50,4168.24,0.95904,0.89252,1.34693,0.72553,0.63904,0.70159,0.51302,1.14814,0.94536,1.50222,4.25842e-05,4.25842e-05,4.25842e-05
