epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.314,0.91997,1.55223,1.25061,0.78565,0.83607,0.85106,0.59537,1.06041,1.90788,1.51869,0.000661939,0.000661939,0.000661939
2,511.75,0.94173,1.12309,1.25281,0.76469,0.86885,0.80624,0.56611,1.0554,1.58597,1.4429,0.0013023,0.0013023,0.0013023
3,788.085,0.94066,0.95328,1.24267,0.93395,0.92735,0.96202,0.68582,1.00677,1.07161,1.3141,0.00191626,0.00191626,0.00191626
4,1063.24,0.93576,0.84078,1.25,0.92414,0.9986,0.98564,0.7778,0.90251,0.83143,1.31415,0.0018812,0.0018812,0.0018812
5,1335.39,0.88839,0.73083,1.22734,0.9678,0.96721,0.98002,0.72536,0.93256,0.68028,1.31417,0.0018416,0.0018416,0.0018416
6,1601.9,0.85547,0.67687,1.19619,0.8699,0.87696,0.91014,0.6463,1.02562,0.81083,1.41423,0.001802,0.001802,0.001802
7,1880.77,0.8443,0.63956,1.18978,0.91649,0.96721,0.97924,0.7473,0.89494,0.60121,1.2539,0.0017624,0.0017624,0.0017624
8,2157.9,0.83349,0.62537,1.17108,0.96638,1,0.98071,0.74514,0.84621,0.53992,1.24141,0.0017228,0.0017228,0.0017228
9,2432.44,0.81489,0.60711,1.15965,0.96184,0.91803,0.97839,0.78491,0.79884,0.50421,1.21162,0.0016832,0.0016832,0.0016832
10,2695.91,0.78875,0.55825,1.14537,0.98153,0.98361,0.98127,0.7548,0.81521,0.49889,1.22982,0.0016436,0.0016436,0.0016436
11,2965.03,0.78957,0.54916,1.14185,0.95274,1,0.97909,0.77763,0.81131,0.47215,1.18667,0.001604,0.001604,0.001604
12,3227.9,0.75219,0.5303,1.13091,0.94951,0.98361,0.97415,0.77821,0.76158,0.46696,1.15914,0.0015644,0.0015644,0.0015644
13,3487.94,0.74587,0.53497,1.1261,0.96823,0.99921,0.98204,0.77204,0.82225,0.44281,1.17802,0.0015248,0.0015248,0.0015248
14,3759.41,0.71621,0.50571,1.10076,0.96557,0.98361,0.9776,0.80701,0.74844,0.42812,1.12118,0.0014852,0.0014852,0.0014852
15,4026.48,0.72259,0.49965,1.11132,0.95228,0.98154,0.98565,0.78918,0.7926,0.42155,1.20229,0.0014456,0.0014456,0.0014456
16,4297.16,0.69932,0.48094,1.09635,0.95912,0.98361,0.98626,0.80159,0.72956,0.43384,1.13002,0.001406,0.001406,0.001406
17,4563.15,0.69499,0.46375,1.09014,0.98111,1,0.97952,0.78255,0.73508,0.38074,1.164,0.0013664,0.0013664,0.0013664
18,4841.78,0.68854,0.45895,1.08662,0.98115,1,0.98581,0.77912,0.75985,0.38306,1.1791,0.0013268,0.0013268,0.0013268
19,5118.58,0.69105,0.45105,1.07809,0.96616,0.98361,0.97269,0.79266,0.74479,0.40503,1.14368,0.0012872,0.0012872,0.0012872
20,5392.84,0.65442,0.43865,1.06863,0.96662,1,0.98471,0.78147,0.7932,0.40137,1.22078,0.0012476,0.0012476,0.0012476
21,5665.45,0.6522,0.43038,1.06977,0.94985,1,0.98349,0.79198,0.72631,0.39031,1.11242,0.001208,0.001208,0.001208
22,5947.65,0.63642,0.4307,1.06185,0.96764,1,0.98871,0.82112,0.7047,0.36474,1.08861,0.0011684,0.0011684,0.0011684
23,6231.11,0.62585,0.4222,1.05732,0.9645,0.98361,0.97474,0.7898,0.74505,0.37688,1.10521,0.0011288,0.0011288,0.0011288
24,6504.06,0.63092,0.4179,1.05419,0.97947,0.96721,0.98991,0.8193,0.70377,0.37345,1.09897,0.0010892,0.0010892,0.0010892
25,6786.06,0.62283,0.40393,1.04509,0.98174,0.98361,0.99158,0.83692,0.68598,0.34855,1.08165,0.0010496,0.0010496,0.0010496
26,7073.31,0.59254,0.38959,1.02645,0.95254,1,0.98955,0.81524,0.70439,0.36683,1.09054,0.00101,0.00101,0.00101
27,7361.93,0.6006,0.39648,1.04121,0.9668,1,0.99258,0.81665,0.70964,0.35688,1.11433,0.0009704,0.0009704,0.0009704
