epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.4,0.91151,1.55117,1.2436,0.79721,0.89831,0.88426,0.58688,1.05715,1.93232,1.44542,0.000661836,0.000661836,0.000661836
2,455.645,0.94407,1.13564,1.25902,0.94293,0.84024,0.94184,0.64439,0.9918,1.36079,1.31393,0.0013022,0.0013022,0.0013022
3,688.875,0.94626,0.96132,1.24907,0.91063,0.98305,0.97385,0.73635,0.92148,0.83108,1.21983,0.00191616,0.00191616,0.00191616
4,917.388,0.94989,0.87762,1.23725,0.90257,0.89831,0.95817,0.70676,0.97762,0.77872,1.33515,0.0018812,0.0018812,0.0018812
5,1143.23,0.89745,0.77229,1.22365,0.93427,0.96363,0.96759,0.75156,0.87672,0.72922,1.25984,0.0018416,0.0018416,0.0018416
6,1366.94,0.86669,0.70013,1.20206,0.96545,0.94723,0.97939,0.75174,0.88467,0.62048,1.2154,0.001802,0.001802,0.001802
7,1588.17,0.84933,0.65338,1.17602,0.96795,0.98305,0.99185,0.78743,0.82299,0.52455,1.1918,0.0017624,0.0017624,0.0017624
8,1808.72,0.81034,0.60143,1.15022,0.95431,0.98305,0.98877,0.78029,0.78107,0.5111,1.15778,0.0017228,0.0017228,0.0017228
9,2026.43,0.78611,0.58502,1.15061,0.98144,1,0.9875,0.76946,0.78952,0.48367,1.16983,0.0016832,0.0016832,0.0016832
10,2242.1,0.79851,0.56042,1.13935,0.91919,0.98305,0.96747,0.77473,0.75438,0.49163,1.10965,0.0016436,0.0016436,0.0016436
11,2458.48,0.76315,0.54546,1.13216,0.95767,1,0.98839,0.78946,0.81018,0.47356,1.16518,0.001604,0.001604,0.001604
12,2674.09,0.75373,0.55675,1.11967,0.93216,0.98305,0.98357,0.76695,0.7768,0.49806,1.1864,0.0015644,0.0015644,0.0015644
13,2891.29,0.74468,0.52414,1.11985,0.96666,0.98285,0.9724,0.7458,0.84863,0.47578,1.21031,0.0015248,0.0015248,0.0015248
14,3104.5,0.72035,0.49846,1.10892,0.94965,1,0.99003,0.80075,0.76251,0.41547,1.10684,0.0014852,0.0014852,0.0014852
15,3319.03,0.71611,0.49215,1.09313,0.96857,0.9661,0.98507,0.80639,0.79662,0.4319,1.15734,0.0014456,0.0014456,0.0014456
16,3537,0.70093,0.49,1.09129,0.98302,0.98147,0.99179,0.81039,0.72195,0.37686,1.08733,0.001406,0.001406,0.001406
17,3752.72,0.70385,0.48425,1.08118,0.9666,0.98116,0.98911,0.83762,0.67018,0.39595,1.05192,0.0013664,0.0013664,0.0013664
18,3967.1,0.66022,0.44405,1.05804,0.95112,0.98957,0.99264,0.82342,0.73012,0.40876,1.07902,0.0013268,0.0013268,0.0013268
19,4180.81,0.67109,0.45002,1.06666,0.97733,1,0.98717,0.8018,0.7944,0.39332,1.14811,0.0012872,0.0012872,0.0012872
20,4399.26,0.65116,0.43684,1.05547,0.95012,1,0.99282,0.82485,0.71034,0.37329,1.07844,0.0012476,0.0012476,0.0012476
21,4614.45,0.62587,0.42254,1.04804,0.97366,0.9661,0.99137,0.81022,0.70146,0.37832,1.07044,0.001208,0.001208,0.001208
22,4830.6,0.63257,0.4169,1.04043,0.95971,1,0.99143,0.82611,0.72204,0.37182,1.0894,0.0011684,0.0011684,0.0011684
23,5047.61,0.6161,0.40972,1.03021,0.9636,1,0.98654,0.80358,0.72122,0.39045,1.08386,0.0011288,0.0011288,0.0011288
24,5260.64,0.61826,0.40699,1.03579,0.94998,1,0.97919,0.81664,0.69222,0.36857,1.0642,0.0010892,0.0010892,0.0010892
25,5472.45,0.60277,0.39801,1.02908,0.96528,0.98305,0.99124,0.83314,0.642,0.35763,1.02715,0.0010496,0.0010496,0.0010496
26,5685.4,0.60046,0.39632,1.02997,0.96717,0.99854,0.99179,0.81935,0.66574,0.33941,1.04854,0.00101,0.00101,0.00101
27,5899.83,0.57953,0.39532,1.00547,0.96631,1,0.99179,0.81626,0.69171,0.34348,1.07608,0.0009704,0.0009704,0.0009704
28,6114.1,0.55621,0.37055,0.99669,0.96717,0.99864,0.99238,0.80811,0.73612,0.36518,1.1321,0.0009308,0.0009308,0.0009308
29,6326.37,0.57698,0.3773,1.0108,0.96619,1,0.99281,0.82735,0.67261,0.3574,1.0651,0.0008912,0.0008912,0.0008912
30,6538.03,0.55921,0.3647,1.01207,0.96537,0.98305,0.99163,0.81603,0.71861,0.35586,1.08603,0.0008516,0.0008516,0.0008516
31,6761.8,0.57354,0.37462,1.0165,0.96597,1,0.98975,0.82598,0.63721,0.34317,1.03369,0.000812,0.000812,0.000812
32,6980.15,0.54939,0.3648,1.01073,0.95152,0.99804,0.9935,0.81907,0.71655,0.35936,1.105,0.0007724,0.0007724,0.0007724
33,7193.83,0.54457,0.35847,1.00524,0.96625,1,0.99231,0.84379,0.64878,0.32471,1.06344,0.0007328,0.0007328,0.0007328
34,7408.66,0.53863,0.35497,0.99189,0.96582,1,0.99315,0.82369,0.68196,0.32392,1.07338,0.0006932,0.0006932,0.0006932
35,7629.6,0.53599,0.34266,0.99961,0.9641,1,0.99178,0.83088,0.69348,0.33473,1.08592,0.0006536,0.0006536,0.0006536
36,7857.65,0.51785,0.3416,0.97848,0.96613,1,0.99281,0.80161,0.74674,0.35112,1.12574,0.000614,0.000614,0.000614
37,8090.28,0.52867,0.33858,0.99143,0.96639,1,0.992,0.82345,0.69534,0.3432,1.07745,0.0005744,0.0005744,0.0005744
38,8327.97,0.50159,0.32529,0.97781,0.96619,1,0.99349,0.83285,0.70663,0.34244,1.11295,0.0005348,0.0005348,0.0005348
39,8569.98,0.48406,0.31055,0.9793,0.96719,0.99938,0.99161,0.83974,0.69637,0.32728,1.07077,0.0004952,0.0004952,0.0004952
40,8821.48,0.49147,0.32697,0.9827,0.96626,1,0.99336,0.82208,0.7365,0.33153,1.09723,0.0004556,0.0004556,0.0004556
41,9074.55,0.42973,0.25831,0.92769,0.96527,1,0.98971,0.84311,0.67301,0.31498,1.05945,0.000416,0.000416,0.000416
42,9337.76,0.42143,0.25247,0.92758,0.96642,1,0.99195,0.82906,0.68611,0.31053,1.07424,0.0003764,0.0003764,0.0003764
43,9605.69,0.40677,0.24954,0.9233,0.96625,1,0.99319,0.81628,0.72245,0.33691,1.10129,0.0003368,0.0003368,0.0003368
44,9870.52,0.39563,0.23789,0.91309,0.96619,1,0.99281,0.82308,0.68791,0.31735,1.07645,0.0002972,0.0002972,0.0002972
45,10131,0.39668,0.25619,0.91036,0.96629,1,0.9935,0.80696,0.73351,0.33151,1.11239,0.0002576,0.0002576,0.0002576
46,10395.8,0.37531,0.22588,0.90813,0.96636,1,0.99315,0.82416,0.72652,0.32669,1.12629,0.000218,0.000218,0.000218
47,10659.9,0.36457,0.2187,0.89953,0.96631,1,0.99319,0.82918,0.68727,0.31322,1.09213,0.0001784,0.0001784,0.0001784
48,10924.5,0.35234,0.21593,0.88849,0.96622,1,0.99367,0.83786,0.68752,0.3008,1.0992,0.0001388,0.0001388,0.0001388
49,11195.1,0.3476,0.21151,0.89698,0.96631,1,0.99367,0.82657,0.67959,0.30365,1.0887,9.92e-05,9.92e-05,9.92e-05
50,11462.2,0.34649,0.20606,0.89079,0.96632,1,0.9935,0.83373,0.68005,0.29638,1.08184,5.96e-05,5.96e-05,5.96e-05
